# Human-audited verdicts for flags the generator could only call "referenced".
#
# The generator reads tokens. It cannot see evidence that arrives through a
# config-file equivalent, a golden file, or a library-level test, so it
# understates. These rows are what a person found by reading the tests.
#
# flag<TAB>verdict<TAB>evidence
#
# verdict is one of:
#   behavior     a test asserts an observable effect; it fails if the flag stops working
#   parse-only   a test drives it through clap and asserts nothing downstream
#   mention-only the token appears; nothing exercises it
--dtmf-cleartext	behavior	dtmf_cleartext_emits_the_digit_value_at_debug_level (tests/dtmf_masking_test.rs), with an anti-vacuity guard
--single-line	behavior	single_line_stops_dot_matching_newline (tests/cli_options_test.rs): 7 messages without, 0 with
--slow-setup	behavior	slow_setup_filter (tests/cli_options_test.rs); one-sided -- nothing positively selects a slow-setup dialog via the flag
--short-calls	parse-only	short_calls_filter asserts only count <= 7; the alias-equivalence test is vacuous (0 of 1334 dialogs selected on its fixture)
--one-way	behavior	one_way_filter plus one_way_output_carries_the_stun_versus_sdp_finding (tests/stun_test.rs); both directions pinned
--nat-issues	behavior	nat_issues_filter plus the_nat_issues_alias_selects_the_rewritten_call (tests/media_diagnosis_wiring_test.rs)
--delta-time	behavior	golden tests/cli/out/text-delta.trycmd pins relative stamps where the flagless golden pins absolute
--line-buffer	parse-only	line_buffer_flag asserts "still emits all 7"; the flush effect is tested on the sink parameter, never joined to the flag
--payload-limit	behavior	payload_limit_truncates_raw_dump: [truncated] appears, User-Agent disappears, against a no-flag baseline
--wireshark	behavior	golden tests/cli/out/wireshark.trycmd adds two lines absent from the flagless golden
--tshark-filter	behavior	golden tests/cli/out/tshark-filter.trycmd emits the -Y filter
--lint-fail-on	parse-only	EXIT 3 IS NEVER OBSERVED. The assertion is guarded behind `if findings > 0` and no checked-in capture produces a lint finding
--lint-max-per-rule	behavior	lint_max_per_rule_bounds_the_findings_one_rule_prints (tests/threshold_wiring_test.rs); proves the flag can raise the cap
--max-groups	behavior	via config key: probe_max_groups (tests/config_wiring_test.rs); flag and key share one resolver. The flag itself is never passed
--max-grouped-messages	behavior	via config key: probe_max_grouped_messages; same shared resolver, same caveat
--node-name	behavior	the_node_name_flag_lands_in_capture_identity (tests/node_identity_test.rs); read back through MCP
--no-dialog	parse-only	no_dialog_mode asserts "still emits all 7"; the option is tested by constructing PipelineOptions directly, never via the flag
--leg-correlation-window	behavior	leg_correlation_window_test.rs strips every other correlation route so only the window can answer
--max-lost-sequences	behavior	via config key: probe_max_lost_sequences moves the burst count 333 -> 33
--quality-threshold	parse-only	asserts exit 0 only; no test drives it with --on-quality-exec and observes the hook firing
--kill-ua	behavior	FIXED THIS PASS. Was a silent no-op without --kill-scanner; now refused, and kill_ua_pattern_reaches_the_detector_that_reads_it asserts the match
--reg-flood	behavior	reg_flood_threshold_decides_when_a_burst_is_a_flood (tests/threshold_wiring_test.rs); an inert flag fails it
